Year;Month;Day;Hour;Min;Sec;EpicentralArea;Lat;Lon;Dep;Io;Mw;ErMw
1538;9;28;17;30;;Campi Flegrei (Pozzuoli);40,835;14,186;;5-6;3,25;0,5
1538;9;29;11;0;;Campi Flegrei (Pozzuoli);40,835;14,186;;5-6;3,25;0,5
1538;9;29;18;30;;Campi Flegrei (Pozzuoli);40,822;14,123;;8;3,88;0,5
1540;4;8;;;;Fermo;43,162;13,718;;6-7;4,86;0,46
1540;9;1;8;10;;Brescia;45,539;10,22;;5;4,16;0,46
1541;10;22;18;;;Valle Scrivia;44,761;8,909;;7;5,26;0,48
1542;6;13;2;15;;Mugello;44,006;11,385;;9;6,02;0,2
1542;11;30;18;40;;Sicilia sud-orientale;37,367;14,803;;5;4,16;0,46
1542;12;10;15;15;;Sicilia sud-orientale;37,215;14,944;;10;6,68;0,24
1545;6;9;15;45;;Val di Taro;44,473;9,825;;7-8;5,38;0,42
1545;11;27;2;;;Val d'Orcia;43,067;11,643;;7-8;5,33;0,46
1545;11;28;;;;Val d'Orcia;43,076;11,679;;5;4,16;0,46
1545;11;29;;;;Val d'Orcia;43,076;11,679;;5;4,16;0,46
1547;2;10;13;20;;Reggiano;44,698;10,631;;7;5,1;0,46
1547;3;24;;;;Reggiano;44,698;10,631;;5-6;4,4;0,46
1547;7;31;;;;Savona;44,307;8,48;;5-6;4,4;0,46
1549;4;;;;;Messina;38,185;15,555;;5;4,16;0,46
1549;5;8;;;;Livorno;43,551;10,309;;6-7;4,86;0,46
1549;5;13;8;30;;Liguria occidentale;44,517;7,752;;4-5;4,37;0,58
1549;9;10;2;;;Belluno;46,139;12,218;;6-7;4,86;0,46
1550;2;28;16;;;Cuneo;44,389;7,547;;6-7;4,86;0,46
1551;9;26;16;30;;Firenze;43,773;11,257;;5-6;4,4;0,46
1554;11;27;18;30;;Firenze;43,773;11,257;;6-7;4,86;0,46
1556;11;17;;;;Cosenza;39,303;16,252;;7;5,1;0,46
1557;4;23;21;;;L'Aquila;42,351;13,399;;5;4,16;0,46
1557;;;;;;Isola d'Ischia;40,721;13,953;;6-7;3,5;0,5
1558;2;8;18;15;;Alta Valtiberina;43,457;12,239;;7;5,1;0,46
1558;4;13;9;;;Valdarno superiore;43,456;11,564;;9;5,97;0,23
1559;4;11;20;;;Alta Valtiberina;43,62;12,091;;6-7;4,86;0,46
1559;4;27;12;;;Pollino;39,844;16,136;;6-7;4,86;0,46
1559;6;29;;;;Palermo;38,115;13,362;;5;4,16;0,46
1560;5;11;4;40;;Costa pugliese centrale;41,249;16,485;;8;5,66;0,48
1561;7;31;19;45;;Vallo di Diano;40,65;15,389;;9;6,34;0,1
1561;7;31;20;10;;Penisola sorrentina;40,685;14,717;;8;5,56;0,46
